,SMILES,title,i_i_glide_lignum,r_i_docking_score
25833,CC(C)(CC#N)CN1Cc2ccccc2C[C@@H](/N=C2\C=C[N+]([O-])=N2)C1=O,enumerated_decorated_cores.csv:10812,25858,-6.39774
20068,C[C@H](O)CN([NH3+])[NH2+][C@H]1Cc2ccccc2CN(c2nccc(=O)[nH]2)C1=O,enumerated_decorated_cores.csv:8434,20087,-6.22432
44838,O=C1[C@@H]([NH2+][C@H]2CCOC2)Cc2ccccc2CN1c1ncn(CO)n1,enumerated_decorated_cores.csv:18819,44881,-5.99541
30709,Nc1nocc1C[NH2+][C@H]1Cc2ccccc2CN([C@@]2(O)C[C@H]3C[C@H]3C2)C1=O,enumerated_decorated_cores.csv:12873,30740,-5.93247
27656,C[C@H](O)[C@H](ON)N1Cc2ccccc2C[C@@H]([NH2+][C@H]2C[C@H]2O)C1=O,enumerated_decorated_cores.csv:11586,27682,-5.85258
12496,O=N[N@@H+]1CC[C@H]1N[C@H]1Cc2ccccc2CN([C@H]2CC[C@H]3[NH2+][C@H]32)C1=O,enumerated_decorated_cores.csv:5260,12512,-5.83036
24693,CC(C)N(O)[NH2+][C@H]1Cc2ccccc2CN([C@H]2[C@H]3C[C@H](C3)[C@H]2O)C1=O,enumerated_decorated_cores.csv:10339,24716,-5.81336
10824,CC[C@H](O)C#CN[C@H]1Cc2ccccc2CN(CCCCC=O)C1=O,enumerated_decorated_cores.csv:4540,10840,-5.77974
8309,C[C@H]1CC[C@@H](N[C@H]2Cc3ccccc3CN(c3cnn(CO)c3)C2=O)[NH2+]C1,enumerated_decorated_cores.csv:3519,8318,-5.77689
5387,CC[C@H](O)[C@H]([NH3+])N1Cc2ccccc2C[C@@H](Nc2ccc(CO)[nH]2)C1,enumerated_decorated_cores.csv:2265,5390,-5.93664
29530,[NH3+]CC(C[NH3+])N1Cc2ccccc2C[C@@H](NCn2cnnn2)C1,enumerated_decorated_cores.csv:12398,29557,-5.79388
11033,C#C[C@@]1(CO)C[C@H]1N[C@H]1Cc2ccccc2C[N@@H+](CCNC(N)=O)C1,enumerated_decorated_cores.csv:4624,11049,-5.72265
44620,[NH3+]CCC[NH2+]CN[C@H]1Cc2ccccc2CN([C@H]2C[C@@H](CO)[NH2+]2)C1,enumerated_decorated_cores.csv:18721,44663,-5.68686
9180,C[C@H](O)C[C@H]([NH3+])N1Cc2ccccc2C[C@@H]([NH2+]CC(C)(C)C[NH3+])C1,enumerated_decorated_cores.csv:3858,9191,-5.63117
34476,CC(C)(C[NH2+][C@H]1Cc2ccccc2CN(c2nncn2N)C1)NO,enumerated_decorated_cores.csv:14455,34509,-5.61523
25835,CNON[C@H]1Cc2ccccc2C[N@H+]([C@H]2C[C@]2(O)C[NH3+])C1,enumerated_decorated_cores.csv:10813,25860,-5.60458
52237,Cn1cnc(C[NH2+][C@H]2Cc3ccccc3CN([C@@H](F)CC[NH3+])C2)c1,enumerated_decorated_cores.csv:21924,52286,-5.58276
6381,C[NH2+]CC[C@H](O)N1Cc2ccccc2C[C@@H](Nc2c[nH]nc2C[NH3+])C1,enumerated_decorated_cores.csv:2698,6385,-5.57167
54376,O=CC1=NO[C@@H](N2Cc3ccccc3C[C@@H]([NH2+]CC[C@H](O)CO)C2)C1,enumerated_decorated_cores.csv:22809,54429,-5.54976
