,SMILES,title,i_i_glide_lignum,r_i_docking_score
20731,C=C[C@@]1(O)C[C@H]1[NH2+][C@H]1Cc2ncccc2CN([C@H]2C[C@H]2[NH3+])C1,8612_generated_biased,20744,-5.59673
8245,C[C@H](O)C[NH2+][C@H]1Cc2ncccc2CN(Cn2cccn2)C1,3402_generated_biased,8251,-5.56531
4713,C[C@H]([NH3+])C#CCN1Cc2cccnc2C[C@@H]([NH2+]CN(C)C[NH3+])C1,1951_generated_biased,4718,-5.49675
9602,CC[C@@]1(N2Cc3cccnc3C[C@@H]([NH2+]CN[C@H](C)C[NH3+])C2)CO1,3957_generated_biased,9609,-5.47653
17204,N#CC/[NH+]=C(\N)CON1Cc2ccc[nH+]c2C[C@@H](N[C@H](C#N)C(=O)ON)C1,7126_generated_biased,17215,-5.47568
7566,C#C[C@H](C)CC/C=[NH+]\[C@H]1Cc2ncccc2CN([C@H](C[NH3+])C2CC2)C1,3121_generated_biased,7571,-5.46827
13025,C/C(CC[NH3+])=N/[C@H]1Cc2ccc(F)cc2C[N@H+](CCc2csc[n+]2[O-])C1,5386_generated_biased,13033,-5.69784
20971,C#C[C@H](O)[C@H]([O-])[NH2+][C@H]1Cc2ccc(F)cc2CN([C@H](N)C[NH3+])C1,8720_generated_biased,20985,-5.65465
877,C[N@@H+](N)CN[C@H]1Cc2ccc(F)cc2CN(COCn2ccnc2)C1=O,352_generated_biased,878,-5.60429
4256,O=C1CCCN1P(O)CN[C@H]1Cc2ccc(F)cc2C[N@H+]([C@H]([O-])CO)C1,1765_generated_biased,4261,-5.44372
1521,CC(=O)[C@@H](F)N1Cc2cc(F)ccc2C[C@@H]([NH2+][C@H](C)C[C@H](C)[NH3+])C1,615_generated_biased,1523,-5.42813
15380,C[C@H](O)CC#CN[C@H]1Cc2ccc(F)cc2C[N@H+]([C@H]([O-])CO)C1,6396_generated_biased,15391,-5.30497
15868,C=C[C@H](C)C[NH2+][C@H]1Cc2ccc(F)cc2CN(Cn2ccc[n+]2[O-])C1,6587_generated_biased,15879,-5.26876
503,[NH3+]C[C@@]1(N2Cc3cc(F)ccc3C[C@@H]([NH2+][C@H]([S-])CS)C2)C[C@H]1[NH3+],196_generated_biased,504,-5.26006
9498,C[C@H](O)CCN1Cc2cc(F)ccc2C[C@@H]([NH2+][SH+]CCO)C1=O,3918_generated_biased,9504,-5.23444
16714,C=CC[C@H](C[NH3+])C[NH2+][C@H]1Cc2ccc(F)cc2CN([C@H](O)C2CC2)C1,6924_generated_biased,16725,-5.21277
1625,CC(C)[C@H](O)C#CN[C@H]1Cc2ccccc2CN(C[C@@]2(C)CC[NH2+]2)C1=O,655_generated_biased,1627,-6.20216
19187,C[NH2+][C@H](CO)N[C@H]1Cc2ccccc2CN(C(=O)[C@H]2C[C@H]2C#N)C1=O,7948_generated_biased,19199,-5.90687
3325,C/[NH+]=C(\C)CN[C@H]1Cc2ccccc2CN(c2cc(N)n[nH]2)C1=O,1376_generated_biased,3328,-5.8136
8,C=C(CCN1Cc2ccccc2C[C@@H]([NH2+][C@H]2C[C@H]2CO)C1=O)C(N)=O,2_generated_biased,9,-5.71974
4942,[NH3+]CCNCC[NH2+][C@H]1Cc2ccccc2CN([C@H](O)[C@H]2C[C@H]2O)C1=O,2048_generated_biased,4947,-5.71384
2270,[NH3+]C[C@@H](F)C(=O)N[C@H]1Cc2ccccc2CN([C@H](O)[C@H]2C=CC2)C1=O,934_generated_biased,2273,-5.60385
23628,C[NH2+]CN[C@H]1Cc2ccccc2CN([C@H](CC#N)C[NH2+]C)C1=O,9829_generated_biased,23643,-5.56651
2002,C[C@H]([NH3+])C/[NH+]=C(\N)N[C@H]1Cc2ccccc2CN([C@H]2CC=CC[C@H]2O)C1=O,822_generated_biased,2005,-5.48825
8948,Cc1cc[nH]c1N1Cc2ccccc2C[C@@H](N[C@@]2(C[NH3+])CO2)C1=O,3694_generated_biased,8954,-5.46012
1523,C[NH2+][C@H](CO)N[C@H]1Cc2ccccc2CN(CC(C)=O)C1=O,616_generated_biased,1525,-5.45049
17385,[NH3+]C[C@H](O)N1Cc2ccccc2C[C@@H](Nc2cnccn2)C1,7193_generated_biased,17396,-5.87722
14008,[NH3+]C[C@H]1CC[C@@]([NH3+])(N2Cc3ccccc3C[C@@H](NC#C[C@H](O)CO)C2)C1,5813_generated_biased,14017,-5.83618
998,CC1(C)[C@@H]([NH3+])[C@H]1N1Cc2ccccc2C[C@@H]([NH2+]C2(C[NH3+])CC2)C1,400_generated_biased,999,-5.49655
8530,C=C1[C@@H](O)[C@H]1[NH2+][C@H]1Cc2ccccc2CN(CC(=[NH2+])CS)C1,3517_generated_biased,8536,-5.40204
19319,C[NH2+]CCN1Cc2ccccc2C[C@@H]([NH2+][C@H]2[C@@H](O)[C@]2(C)O)C1,8013_generated_biased,19331,-5.35679
23438,[NH3+]C[C@H](O)CN[C@H]1Cc2ccccc2CN(Cc2cn[nH]c2)C1,9748_generated_biased,23453,-5.34668
1282,C=C=C([C@H](C#N)C[NH3+])N1Cc2ccccc2C[C@@H]([NH2+][C@H]2CC[C@@H]([NH3+])C2)C1,518_generated_biased,1284,-5.3217
23521,N#C[C@H](CC[NH3+])N[C@H]1Cc2ccccc2CN(NC(=O)CC[NH3+])C1,9776_generated_biased,23536,-5.24754
13885,C=C=C(C)[C@H]([O-])[N@H+]1Cc2ccccc2C[C@@H](NO[C@H](C)C[NH3+])C1,5761_generated_biased,13894,-5.24487
5003,C[NH2+][C@@](C)(O)N1Cc2ccccc2C[C@@H](N[C@H]2C=CN([C@H]3CC[C@H]3O)C2=O)C1,2071_generated_biased,5008,-5.24042
